Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
Greedy,16,25,137,65,73,1.80113,7,0.685533
BFS,16,25,1014,487,528,2.499,7,2.3547
AStar,16,25,24,11,14,1.30162,7,0.063674
IDAStar,16,25,22,12,6,1.27799,7,0.033643
BeamSearch,16,25,464,223,100,2.20583,7,0.873233
RBFS,16,25,24,10,3,1.30162,7,0.017884
SMAStar,16,25,22,10,13,1.27799,7,0.047108
Greedy,16,50,2816,1373,1444,1.04164,116,10.5417
BFS,16,50,3516924,1832343,1684581,-1,-1,-1
AStar,16,50,3091,1528,1560,1.31728,24,712.035
IDAStar,16,50,4492,2205,23,1.34096,24,7.38869
BeamSearch,16,50,4005,1954,100,1.33368,24,11.2039
RBFS,16,50,6141,2988,4,1.36092,24,0.857511
SMAStar,16,50,3957,1983,1975,1.33291,24,34.9262
Greedy,16,100,551,263,289,1.05417,64,2.9821
BFS,16,100,2938683,1529041,1409642,-1,-1,-1
AStar,16,100,1968,979,979,1.28891,24,10.3969
IDAStar,16,100,2244,1072,23,1.29713,24,6.62173
BeamSearch,16,100,3926,1954,100,1.33241,24,20.9401
RBFS,16,100,3953,1886,4,1.33285,24,0.631305
SMAStar,16,100,2154,1085,1070,1.29457,24,17.7563
Greedy,16,200,22839,11037,11803,1.0133,432,243.961
BFS,16,200,2130777,1105838,1024939,-1,-1,-1
AStar,16,200,451347,231416,217569,1.31805,42,6098.66
IDAStar,16,200,1891238,909468,41,1.36727,42,7341.44
BeamSearch,16,200,8869,4354,100,1.15961,48,93.4771
RBFS,16,200,2088336,1005409,4,1.37072,42,270.908
SMAStar,16,200,102851,52533,50318,-1,-1,-1
Greedy,16,25,1673,838,836,1.09946,53,2.83768
BFS,16,25,19865,9841,10025,2.33717,11,35.0322
AStar,16,25,54,26,29,1.24939,11,0.093295
IDAStar,16,25,57,29,10,1.25796,11,0.074073
BeamSearch,16,25,1326,654,100,1.78423,11,2.16404
RBFS,16,25,41,18,4,1.20562,11,0.022166
SMAStar,16,25,54,26,29,1.24939,11,0.109236
Greedy,16,50,2142,1034,1109,1.03855,116,6.40845
BFS,16,50,342541,174536,168006,2.13173,16,1386.45
AStar,16,50,103,48,56,1.19715,16,0.316452
IDAStar,16,50,36,21,15,1.08709,16,0.100852
BeamSearch,16,50,2236,1123,100,1.51367,16,6.64732
RBFS,16,50,49,21,3,1.12025,16,0.072433
SMAStar,16,50,52,22,31,1.12653,16,0.179889
Greedy,16,100,3613,1804,1810,1.01928,222,20.6168
BFS,16,100,2852504,1484326,1368178,-1,-1,-1
AStar,16,100,3266,1598,1661,1.28881,26,18.2947
IDAStar,16,100,8676,4220,25,1.3451,26,28.2555
BeamSearch,16,100,4403,2154,100,1.30591,26,25.3531
RBFS,16,100,8622,4194,4,1.34474,26,1.92062
SMAStar,16,100,6038,3021,3018,1.32409,26,103.647
Greedy,16,200,18120,8975,9146,1.01243,438,206.116
BFS,16,200,1688184,873241,814944,-1,-1,-1
AStar,16,200,1718,846,869,1.20913,30,32.2226
IDAStar,16,200,6202,3085,29,1.27069,30,75.8686
BeamSearch,16,200,5114,2523,100,1.26139,30,90.495
RBFS,16,200,6186,3073,3,1.27057,30,1.77452
SMAStar,16,200,4702,2395,2308,1.25735,30,142.883
Greedy,16,25,10,4,7,1.6608,3,0.029775
BFS,16,25,64,31,34,3.59541,3,0.193168
AStar,16,25,10,4,7,1.6608,3,0.025616
IDAStar,16,25,8,3,2,1.4883,3,0.019164
BeamSearch,16,25,35,16,20,2.84608,3,0.098111
RBFS,16,25,10,3,4,1.6608,3,0.009698
SMAStar,16,25,10,4,7,1.6608,3,0.025099
Greedy,16,50,3156,1546,1611,1.04109,120,17.0498
BFS,16,50,2866069,1490174,1375895,-1,-1,-1
AStar,16,50,8190,4066,4107,1.31048,28,47.1182
IDAStar,16,50,14499,6987,27,1.34085,28,43.8158
BeamSearch,16,50,5117,2523,100,1.26142,30,25.9417
RBFS,16,50,24611,11767,3,1.36931,28,5.55914
SMAStar,16,50,21561,10828,10734,1.36216,28,2012
Greedy,16,100,1381,663,719,1.04577,92,14.5759
BFS,16,100,1423335,734851,688484,-1,-1,-1
AStar,16,100,5872,2957,2900,1.26806,30,83.4572
IDAStar,16,100,6179,3059,29,1.27051,30,49.1697
BeamSearch,16,100,8745,4296,100,1.15922,48,123.22
RBFS,16,100,6167,3039,3,1.27042,30,3.24716
SMAStar,16,100,6793,3484,3310,1.27509,30,346.36
Greedy,16,200,8636,4208,4429,1.01501,326,249.456
BFS,16,200,1116583,575281,541302,-1,-1,-1
AStar,16,200,1223893,638403,581393,-1,-1,-1
IDAStar,16,200,2353599,1138531,38,-1,-1,-1
BeamSearch,16,200,10422,5123,100,1.13574,56,317.386
RBFS,16,200,5000001,2414613,3,-1,-1,-1
SMAStar,16,200,62511,31664,30847,-1,-1,-1
Greedy,16,25,20,10,11,1.25215,7,0.153651
BFS,16,25,897,432,466,2.45104,7,15.749
AStar,16,25,18,9,10,1.2236,7,0.289319
IDAStar,16,25,12,8,6,1.11323,7,0.146699
BeamSearch,16,25,467,223,100,2.20813,7,3.52362
RBFS,16,25,18,8,3,1.2236,7,0.058718
SMAStar,16,25,17,8,10,1.20811,7,0.152654
Greedy,16,50,2743,1300,1444,1.06862,78,53.85
BFS,16,50,571204,292778,278427,2.20494,16,7139.28
AStar,16,50,324,157,168,1.31296,16,3.13696
IDAStar,16,50,199,98,15,1.26375,16,1.33531
BeamSearch,16,50,2355,1154,100,1.51926,16,26.6473
RBFS,16,50,191,90,4,1.25961,16,0.303987
SMAStar,16,50,225,108,118,1.27613,16,3.81527
Greedy,16,100,1418,668,751,1.05555,80,38.4144
BFS,16,100,1531417,791740,739677,-1,-1,-1
AStar,16,100,295,138,158,1.25661,18,3.13264
IDAStar,16,100,317,150,17,1.2629,18,2.63101
BeamSearch,16,100,2718,1323,100,1.45462,18,30.962
RBFS,16,100,326,147,3,1.26536,18,0.273498
SMAStar,16,100,287,133,155,1.2542,18,3.3203
Greedy,16,200,44437,22437,22001,1.00445,1190,773.214
BFS,16,200,1161267,598603,562664,-1,-1,-1
AStar,16,200,100470,51783,48242,1.30306,38,3150.43
IDAStar,16,200,216759,106401,37,1.33213,38,1838.15
BeamSearch,16,200,6733,3323,100,1.20347,38,156.807
RBFS,16,200,160034,78538,3,1.32061,38,47.2525
SMAStar,16,200,78617,40346,38271,-1,-1,-1
Greedy,16,25,14,6,9,1.33751,5,0.054938
BFS,16,25,161,74,88,2.49612,5,0.556045
AStar,16,25,14,6,9,1.33751,5,0.036445
IDAStar,16,25,8,5,4,1.11434,5,0.017521
BeamSearch,16,25,122,57,66,2.34103,5,0.420175
RBFS,16,25,14,5,3,1.33751,5,0.013892
SMAStar,16,25,14,6,9,1.33751,5,0.043081
Greedy,16,50,4416,2154,2263,1.0306,162,26.9883
BFS,16,50,1761917,912434,849484,2.14721,18,12964.6
AStar,16,50,280,134,147,1.25204,18,1.23127
IDAStar,16,50,213,106,17,1.22808,18,0.849075
BeamSearch,16,50,2713,1323,100,1.45445,18,9.49428
RBFS,16,50,219,103,3,1.23052,18,0.094703
SMAStar,16,50,267,125,143,1.24788,18,1.00004
Greedy,16,100,5693,2803,2891,1.01307,332,40.1272
BFS,16,100,2604153,1351611,1252542,-1,-1,-1
AStar,16,100,12476,6327,6126,1.33282,28,106.58
IDAStar,16,100,32630,15882,27,1.38463,28,97.8241
BeamSearch,16,100,8823,4323,100,1.15946,48,58.4683
RBFS,16,100,21888,10644,3,1.36297,28,3.60085
SMAStar,16,100,17734,9131,8604,1.35164,28,974.053
Greedy,16,200,18662,9134,9529,1.02549,244,269.747
BFS,16,200,1826055,946649,879406,-1,-1,-1
AStar,16,200,742636,391812,348261,1.37958,38,10505.6
IDAStar,16,200,2582300,1253943,37,1.42883,38,10108.3
BeamSearch,16,200,10145,4954,100,1.14128,54,123.499
RBFS,16,200,2764206,1342546,4,1.43156,38,399.046
SMAStar,16,200,93865,48133,45732,-1,-1,-1
Greedy,16,25,28,13,16,1.14429,11,0.057973
BFS,16,25,15919,7861,8059,2.28717,11,31.2265
AStar,16,25,28,13,16,1.14429,11,0.066026
IDAStar,16,25,20,12,10,1.08883,11,0.036225
BeamSearch,16,25,1286,623,100,1.77862,11,2.34426
RBFS,16,25,28,12,3,1.14429,11,0.022833
SMAStar,16,25,27,12,16,1.13837,11,0.065423
Greedy,16,50,7205,3514,3692,1.02249,228,24.8236
BFS,16,50,695992,357204,338789,2.23383,16,3577.47
AStar,16,50,191,95,97,1.25961,16,0.590084
IDAStar,16,50,151,78,15,1.2359,16,0.392366
BeamSearch,16,50,2394,1154,100,1.52103,16,7.42901
RBFS,16,50,170,84,4,1.24787,16,0.072398
SMAStar,16,50,155,72,84,1.23854,16,0.508324
Greedy,16,100,37420,18501,18920,1.00951,620,235.733
BFS,16,100,2455305,1273438,1181867,-1,-1,-1
AStar,16,100,740,352,388,1.20463,26,4.49425
IDAStar,16,100,1685,806,25,1.25118,26,8.12656
BeamSearch,16,100,4224,2123,100,1.30353,26,25.7978
RBFS,16,100,1682,798,3,1.25108,26,0.41388
SMAStar,16,100,1479,723,757,1.24379,26,12.3258
Greedy,16,200,7502,3614,3889,1.05721,108,97.2747
BFS,16,200,1670291,864875,805416,-1,-1,-1
AStar,16,200,46334,23358,22797,1.36951,30,701.989
IDAStar,16,200,79171,38423,29,1.39656,30,477.994
BeamSearch,16,200,5223,2554,100,1.26241,30,79.0116
RBFS,16,200,90991,44117,4,1.40365,30,16.0558
SMAStar,16,200,69795,35800,33996,1.39017,30,28513.7
Greedy,16,25,134,64,71,1.39385,11,0.334701
BFS,16,25,18770,9285,9486,2.32428,11,44.9587
AStar,16,25,123,59,65,1.38013,11,0.264444
IDAStar,16,25,170,82,10,1.43219,11,0.23297
BeamSearch,16,25,1345,654,100,1.78684,11,2.96521
RBFS,16,25,160,76,4,1.42239,11,0.049181
SMAStar,16,25,127,60,68,1.38525,11,0.332625
Greedy,16,50,182,83,100,1.1835,20,0.776577
BFS,16,50,12053,5967,6087,2.42687,10,49.7928
AStar,16,50,40,18,23,1.23895,10,0.153349
IDAStar,16,50,32,17,9,1.19916,10,0.137476
BeamSearch,16,50,1141,554,100,1.8734,10,4.43427
RBFS,16,50,40,17,4,1.23895,10,0.048149
SMAStar,16,50,27,11,17,1.16867,10,0.12404
Greedy,16,100,3339,1624,1716,1.02667,170,25.9931
BFS,16,100,2421635,1256518,1165117,-1,-1,-1
AStar,16,100,14614,7172,7385,1.34127,28,100.211
IDAStar,16,100,47810,22374,27,1.40556,28,118.579
BeamSearch,16,100,5149,2523,100,1.26172,30,37.7877
RBFS,16,100,52423,24521,3,1.41063,28,9.60147
SMAStar,16,100,24503,12271,12233,1.36907,28,1931.37
Greedy,16,200,8938,4375,4564,1.01937,268,133.968
BFS,16,200,1839273,952557,886716,-1,-1,-1
AStar,16,200,957430,502271,450706,1.30723,46,16186.8
IDAStar,16,200,4829017,2436990,45,1.35738,46,23103.7
BeamSearch,16,200,12457,6154,100,1.11451,66,165.406
RBFS,16,200,2283663,1155136,4,1.334,46,389.184
SMAStar,16,200,88124,46207,41917,-1,-1,-1
Greedy,16,25,17,8,10,1.20811,7,0.036497
BFS,16,25,444,216,229,2.19016,7,0.764419
AStar,16,25,17,8,10,1.20811,7,0.035958
IDAStar,16,25,10,7,6,1.06287,7,0.016574
